iter	MultiClass
0	1.360399902
1	1.193524744
2	1.073906841
3	0.9835129754
4	0.911367423
5	0.8550128436
6	0.8011869754
7	0.7585353993
8	0.7206951093
9	0.690687016
10	0.6652194612
11	0.6432696818
12	0.6223886189
13	0.6046502491
14	0.5881798952
15	0.575775378
16	0.5649613848
17	0.5573782314
18	0.5480477128
19	0.5404585606
20	0.5331744651
21	0.5247695269
22	0.5175389433
23	0.5114802597
24	0.5063633746
25	0.503245904
26	0.4977681233
27	0.4929191639
28	0.4875889732
29	0.4847346737
30	0.4823541147
31	0.4802029744
32	0.4770515653
33	0.4743347503
34	0.4706026715
35	0.4681228909
36	0.4664899605
37	0.4631832071
38	0.462361499
39	0.4605069613
40	0.4593391414
41	0.4573042748
42	0.4550213557
43	0.4537375641
44	0.4530676597
45	0.4509092629
46	0.4502121868
47	0.4483417017
48	0.4466080743
49	0.4451129554
50	0.4443207599
51	0.443713348
52	0.4431061952
53	0.4418778718
54	0.4412578417
55	0.4405979156
56	0.4399881537
57	0.4391924731
58	0.4384737521
59	0.4378951784
60	0.437304445
61	0.4366762325
62	0.4361954456
63	0.4344152394
64	0.4339735076
65	0.4332595977
66	0.4322055397
67	0.4310168203
68	0.4298542438
69	0.4290614457
70	0.4285099956
71	0.4279904238
72	0.4274171116
73	0.4267536313
74	0.426253364
75	0.4249710805
76	0.4241235416
77	0.4235031011
78	0.4230305865
79	0.4219802276
80	0.421210282
81	0.4208362902
82	0.4200419504
83	0.4193327047
84	0.418924368
85	0.4185363207
86	0.4181952194
87	0.4176844661
88	0.417175906
89	0.4169233311
90	0.4160933347
91	0.4152073082
92	0.414372592
93	0.4139709115
94	0.4137250224
95	0.4129261076
96	0.4124667895
97	0.4116253609
98	0.4112060318
99	0.4105146139
100	0.4097435509
101	0.4092467066
102	0.4086483087
103	0.4081644919
104	0.4071873277
105	0.4065496188
106	0.4061063199
107	0.4054692693
108	0.4052730266
109	0.4045886657
110	0.404177713
111	0.4037087857
112	0.4032390462
113	0.4028746022
114	0.4021637966
115	0.4016885794
116	0.4011639762
117	0.4008749851
118	0.4002455924
119	0.3998427126
120	0.3994537324
121	0.3989576471
122	0.3984979489
123	0.3978161319
124	0.3974466432
125	0.3969126584
126	0.396622067
127	0.3962091038
128	0.3957685779
129	0.3954743752
130	0.395346029
131	0.3950346471
132	0.3944058684
133	0.393883173
134	0.3932990603
135	0.3929189267
136	0.3923037511
137	0.3919049116
138	0.3916460423
139	0.3907246618
140	0.390438415
141	0.3902337692
142	0.3897884744
143	0.3895893214
144	0.3892179631
145	0.3889849913
146	0.3884985284
147	0.3882007016
148	0.388019306
149	0.3874785114
150	0.3870954198
151	0.386407263
152	0.3859325447
153	0.3855288389
154	0.3851833186
155	0.3849208523
156	0.3846685227
157	0.3842705016
158	0.3839483956
159	0.383544162
160	0.3832614496
161	0.3826877505
162	0.3821942793
163	0.3817692924
164	0.381211526
165	0.3808457521
166	0.3805537805
167	0.3801693402
168	0.3798098112
169	0.3794539197
170	0.3792118683
171	0.3785990669
172	0.3780311322
173	0.3778417604
174	0.3775805779
175	0.3772872114
176	0.3763872278
177	0.3760538648
178	0.3757544896
179	0.3756038981
180	0.3749502647
181	0.3747169118
182	0.3743806171
183	0.3737968307
184	0.3729728301
185	0.3725049962
186	0.3721734982
187	0.3719007322
188	0.3714697399
189	0.3711679748
190	0.3709631534
191	0.3700528685
192	0.369826293
193	0.3692761107
194	0.3690707051
195	0.3688077936
196	0.3685639315
197	0.3681436598
198	0.3676252484
199	0.3672553176
