iter	Passed	Remaining
0	1	328
1	3	336
2	4	317
3	6	332
4	8	327
5	10	329
6	11	327
7	13	324
8	14	318
9	17	332
10	19	333
11	20	325
12	22	320
13	23	316
14	25	310
15	26	304
16	27	297
17	29	298
18	32	309
19	34	308
20	36	307
21	37	303
22	38	298
23	40	297
24	42	294
25	43	289
26	45	292
27	47	294
28	49	290
29	50	288
30	52	285
31	53	283
32	55	280
33	56	277
34	58	274
35	60	273
36	61	270
37	62	267
38	64	264
39	65	261
40	67	260
41	68	258
42	70	257
43	72	257
44	76	262
45	78	262
46	79	260
47	81	257
48	82	255
49	84	253
50	85	251
51	89	253
52	91	253
53	92	250
54	94	248
55	95	246
56	97	244
57	99	242
58	101	241
59	104	243
60	106	242
61	108	241
62	110	239
63	111	237
64	113	235
65	116	235
66	120	238
67	121	236
68	123	234
69	125	232
70	126	230
71	128	227
72	129	226
73	131	224
74	133	222
75	135	221
76	137	219
77	139	217
78	140	215
79	142	213
80	144	211
81	145	209
82	148	209
83	150	207
84	151	205
85	153	203
86	155	202
87	157	200
88	158	198
89	161	197
90	164	196
91	165	194
92	167	192
93	168	190
94	170	188
95	173	188
96	177	188
97	179	187
98	182	185
99	184	184
100	185	181
101	186	179
102	188	177
103	190	175
104	193	174
105	195	173
106	196	171
107	198	169
108	200	167
109	201	164
110	203	162
111	205	161
112	207	159
113	208	157
114	210	155
115	212	153
116	214	152
117	216	150
118	217	148
119	220	146
120	222	145
121	223	143
122	225	140
123	226	138
124	228	136
125	229	134
126	230	132
127	232	130
128	234	129
129	236	127
130	237	125
131	238	122
132	240	120
133	241	118
134	242	116
135	244	114
136	245	112
137	247	111
138	251	110
139	253	108
140	254	106
141	256	104
142	257	102
143	259	100
144	260	98
145	262	97
146	264	95
147	267	93
148	268	91
149	270	90
150	273	88
151	275	86
152	280	86
153	282	84
154	284	82
155	286	80
156	288	78
157	290	77
158	295	76
159	297	74
160	299	72
161	300	70
162	301	68
163	303	66
164	304	64
165	307	62
166	309	61
167	311	59
168	312	57
169	314	55
170	315	53
171	317	51
172	319	49
173	322	48
174	324	46
175	326	44
176	327	42
177	329	40
178	331	38
179	333	37
180	334	35
181	337	33
182	340	31
183	342	29
184	344	27
185	346	26
186	348	24
187	349	22
188	351	20
189	353	18
190	356	16
191	358	14
192	359	13
193	361	11
194	362	9
195	364	7
196	366	5
197	368	3
198	369	1
199	373	0
