index,Temperature(°C),Dew Point(°F),Humidity(°%),Wind Speed(°mph),Wind Gust(°mph),Pressure(°in),Precip.,Condition
0,3,2,87,3,0,31,0.0,Partly Cloudy
1,8,3,76,9,0,31,0.0,Mostly Cloudy
2,8,4,81,8,0,31,0.0,Mostly Cloudy
3,7,3,76,6,0,31,0.0,Mostly Cloudy
4,5,3,81,5,0,31,0.0,Mostly Cloudy
5,5,3,81,3,0,31,0.0,Mostly Cloudy
6,5,3,81,3,0,31,0.0,Mostly Cloudy
7,7,3,76,6,0,31,0.0,Fair
8,7,3,76,8,0,31,0.0,Fair
9,5,-1,65,10,0,31,0.0,Fair
10,5,-1,65,8,0,31,0.0,Fair
11,4,-2,65,7,0,31,0.0,Fair
12,4,-2,65,7,0,31,0.0,Mostly Cloudy
13,5,-1,65,6,0,31,0.0,Mostly Cloudy
14,5,-1,65,6,0,31,0.0,Mostly Cloudy
15,5,-1,65,6,0,31,0.0,Mostly Cloudy
16,5,0,70,6,0,31,0.0,Mostly Cloudy
17,5,3,81,5,0,31,0.0,Light Rain Shower
18,4,3,87,7,0,31,0.0,Light Rain Shower
19,4,3,93,1,0,31,0.0,Light Rain Shower
20,5,4,93,5,0,31,0.0,Light Rain Shower
21,7,4,87,5,0,31,0.0,Light Rain Shower
22,7,5,93,2,0,31,0.0,Light Rain Shower
23,7,5,93,2,0,31,0.0,Mostly Cloudy
24,8,4,81,6,0,31,0.0,Mostly Cloudy
25,8,3,71,12,0,31,0.0,Mostly Cloudy
26,9,3,66,14,0,31,0.0,Mostly Cloudy
27,9,3,62,18,0,31,0.0,Mostly Cloudy
29,8,2,62,18,0,31,0.0,Mostly Cloudy
31,8,3,66,18,0,31,0.0,Mostly Cloudy
32,8,2,62,20,0,31,0.0,Mostly Cloudy
33,8,2,62,16,0,31,0.0,Mostly Cloudy
34,8,0,57,20,0,31,0.0,Mostly Cloudy
35,8,0,61,18,0,31,0.0,Partly Cloudy
36,8,0,61,15,0,31,0.0,Partly Cloudy
37,8,0,61,14,0,31,0.0,Partly Cloudy
