Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Condition_Drizzle,Condition_Fair,Condition_Foggy,Condition_Mixed,Condition_Mostly Cloudy,Condition_Partly Cloudy,Condition_Rain Shower,Condition_Thunderstorms,Condition_Wintry
37,34,87,3,0,30.08,0,0,0,0,0,1,0,0,0
45,37,76,9,0,30.08,0,0,0,0,1,0,0,0,0
45,39,81,8,0,30.08,0,0,0,0,1,0,0,0,0
43,36,76,6,0,30.05,0,0,0,0,1,0,0,0,0
41,36,81,5,0,30.05,0,0,0,0,1,0,0,0,0
41,36,81,3,0,30.05,0,0,0,0,1,0,0,0,0
41,36,81,3,0,30.05,0,0,0,0,1,0,0,0,0
43,36,76,6,0,30.05,0,1,0,0,0,0,0,0,0
43,36,76,8,0,30.08,0,1,0,0,0,0,0,0,0
41,30,65,10,0,30.08,0,1,0,0,0,0,0,0,0
41,30,65,8,0,30.05,0,1,0,0,0,0,0,0,0
39,28,65,7,0,30.05,0,1,0,0,0,0,0,0,0
39,28,65,7,0,30.05,0,0,0,0,1,0,0,0,0
41,30,65,6,0,30.05,0,0,0,0,1,0,0,0,0
41,30,65,6,0,30.05,0,0,0,0,1,0,0,0,0
41,30,65,6,0,30.08,0,0,0,0,1,0,0,0,0
41,32,70,6,0,30.08,0,0,0,0,1,0,0,0,0
41,36,81,5,0,30.08,1,0,0,0,0,0,0,0,0
39,36,87,7,0,30.08,1,0,0,0,0,0,0,0,0
39,37,93,1,0,30.11,1,0,0,0,0,0,0,0,0
41,39,93,5,0,30.11,1,0,0,0,0,0,0,0,0
43,39,87,5,0,30.14,1,0,0,0,0,0,0,0,0
43,41,93,2,0,30.14,1,0,0,0,0,0,0,0,0
43,41,93,2,0,30.14,0,0,0,0,1,0,0,0,0
45,39,81,6,0,30.14,0,0,0,0,1,0,0,0,0
46,37,71,12,0,30.11,0,0,0,0,1,0,0,0,0
48,37,66,14,0,30.11,0,0,0,0,1,0,0,0,0
48,36,62,18,0,30.11,0,0,0,0,1,0,0,0,0
46,36,66,21,0,30.11,0,0,0,1,0,0,0,0,0
46,34,62,18,0,30.11,0,0,0,0,1,0,0,0,0
46,34,62,21,0,30.14,0,0,0,1,0,0,0,0,0
46,36,66,18,0,30.14,0,0,0,0,1,0,0,0,0
46,34,62,20,0,30.14,0,0,0,0,1,0,0,0,0
46,34,62,16,0,30.14,0,0,0,0,1,0,0,0,0
46,32,57,20,0,30.14,0,0,0,0,1,0,0,0,0
45,32,61,18,0,30.14,0,0,0,0,0,1,0,0,0
45,32,61,15,0,30.17,0,0,0,0,0,1,0,0,0
45,32,61,14,0,30.17,0,0,0,0,0,1,0,0,0
45,32,61,16,0,30.17,0,0,0,0,0,1,0,0,0
45,32,61,16,0,30.2,0,0,0,0,1,0,0,0,0
45,30,57,15,0,30.2,1,0,0,0,0,0,0,0,0
43,32,66,21,0,30.2,1,0,0,0,0,0,0,0,0
45,32,61,20,0,30.2,0,0,0,0,1,0,0,0,0
43,32,66,20,31,30.2,0,1,0,0,0,0,0,0,0
43,30,61,21,0,30.2,0,0,0,1,0,0,0,0,0
43,28,57,17,0,30.2,0,1,0,0,0,0,0,0,0
43,34,70,22,36,30.2,0,0,0,1,0,0,0,0,0
41,34,76,18,0,30.2,1,0,0,0,0,0,0,0,0
43,32,66,14,25,30.2,1,0,0,0,0,0,0,0,0
41,32,70,16,0,30.2,1,0,0,0,0,0,0,0,0
41,30,65,12,0,30.2,0,0,0,0,1,0,0,0,0
41,28,61,14,0,30.2,0,0,0,0,0,1,0,0,0
41,30,65,12,0,30.2,0,0,0,0,1,0,0,0,0
41,36,81,16,0,30.2,1,0,0,0,0,0,0,0,0
41,34,76,17,0,30.2,1,0,0,0,0,0,0,0,0
41,34,76,20,0,30.2,1,0,0,0,0,0,0,0,0
39,36,87,16,0,30.2,0,0,0,0,1,0,0,0,0
39,36,87,14,0,30.2,0,0,0,0,1,0,0,0,0
41,34,76,14,0,30.2,0,0,0,0,1,0,0,0,0
41,36,81,15,0,30.2,0,0,0,0,1,0,0,0,0
41,36,81,15,0,30.2,0,0,0,0,0,1,0,0,0
41,34,76,17,0,30.2,0,0,0,0,0,1,0,0,0
39,36,87,15,26,30.2,1,0,0,0,0,0,0,0,0
41,36,81,12,0,30.2,1,0,0,0,0,0,0,0,0
41,34,76,17,0,30.2,1,0,0,0,0,0,0,0,0
41,34,76,16,0,30.2,0,0,0,0,1,0,0,0,0
43,32,66,20,0,30.2,0,0,0,0,1,0,0,0,0
43,32,66,21,0,30.23,0,0,0,1,0,0,0,0,0
43,34,70,16,28,30.23,1,0,0,0,0,0,0,0,0
41,36,81,18,0,30.23,1,0,0,0,0,0,0,0,0
43,36,76,18,0,30.23,0,0,0,0,1,0,0,0,0
43,36,76,16,0,30.23,0,0,0,0,1,0,0,0,0
43,36,76,20,0,30.23,1,0,0,0,0,0,0,0,0
41,36,81,17,0,30.23,1,0,0,0,0,0,0,0,0
41,37,87,17,0,30.26,1,0,0,0,0,0,0,0,0
41,37,87,18,0,30.23,1,0,0,0,0,0,0,0,0
43,39,87,16,0,30.23,1,0,0,0,0,0,0,0,0
43,37,81,16,0,30.23,1,0,0,0,0,0,0,0,0
