Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.Condition,Precip.,Condition
12:20 AM,37ʡF,34ʡF,87ʡ%,W,3ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Partly Cloudy
12:50 AM,45ʡF,37ʡF,76ʡ%,SW,9ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Mostly Cloudy
1:20 AM,45ʡF,39ʡF,81ʡ%,WSW,8ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Mostly Cloudy
1:50 AM,43ʡF,36ʡF,76ʡ%,WNW,6ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
2:20 AM,41ʡF,36ʡF,81ʡ%,NW,5ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
2:50 AM,41ʡF,36ʡF,81ʡ%,WNW,3ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
3:20 AM,41ʡF,36ʡF,81ʡ%,W,3ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
3:50 AM,43ʡF,36ʡF,76ʡ%,NW,6ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Fair
4:20 AM,43ʡF,36ʡF,76ʡ%,NW,8ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Fair
4:50 AM,41ʡF,30ʡF,65ʡ%,NW,10ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Fair
5:20 AM,41ʡF,30ʡF,65ʡ%,NW,8ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Fair
5:50 AM,39ʡF,28ʡF,65ʡ%,NW,7ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Fair
6:20 AM,39ʡF,28ʡF,65ʡ%,NW,7ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
6:50 AM,41ʡF,30ʡF,65ʡ%,NNW,6ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
7:20 AM,41ʡF,30ʡF,65ʡ%,NNW,6ʡmph,0ʡmph,30.05ʡin,,0.0ʡin,Mostly Cloudy
7:50 AM,41ʡF,30ʡF,65ʡ%,NW,6ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Mostly Cloudy
8:20 AM,41ʡF,32ʡF,70ʡ%,NNW,6ʡmph,0ʡmph,30.08ʡin,,0.0ʡin,Mostly Cloudy
